Project_ID,Description,Type,Location,Site_Conditions,Square_Footage,Floors,Units,Foundation,Framing,Exterior_Finish,Roofing,HVAC,Plumbing,Electrical,Fire_Protection,Permitting_Fees,cost_estimation
28,Projet Renovation,Residential,"Moscow, Russia",10,69018,1,2,Basement,Concrete,Brick,Tiles,central system electric,Rigid_Copper_Pipe,151,True,3453.31,24700
29,Projet Renovation,Residential,"Ekaterinburg, Russia",3,75674,2,84,Crawlspace,Steel,Siding,Shingles,central system gaz,PVC_Pipe,743,True,4220.98,104000
30,Projet Renovation,Industrial,"Moscow, Russia",7,13962,5,57,Crawlspace,Wood,Siding,Metal,central system electric,PEX_Pipe,284,True,326.67,93500
31,Projet Renovation,Residential,"Saint-peterburg, Russia",9,98654,8,91,Slab,Steel,Siding,Shingles,central system gaz,Flexi_Pipe,788,True,1247.45,135000
32,Projet New building,Commercial,"Saint-peterburg, Russia",6,62965,3,4,Slab,Concrete,Brick,Tiles,central system gaz,PEX_Pipe,248,False,3043.61,32200
33,Projet Renovation,Residential,"Ekaterinburg, Russia",5,14516,8,12,Slab,Steel,Stucco,Metal,central system electric,Rigid_Copper_Pipe,982,False,2887.85,46500
34,Projet Renovation,Residential,"Tambov, Russia",8,64131,7,93,Crawlspace,Wood,Brick,Tiles,central system electric,Braided_Pipe,260,True,3179.84,136000
35,Projet New building,Commercial,"Ekaterinburg, Russia",10,25960,3,97,Slab,Steel,Brick,Metal,central system gaz,Flexi_Pipe,267,False,790.6,125500
36,Projet New building,Residential,"Tambov, Russia",9,31850,3,4,Basement,Steel,Brick,Metal,central system electric,PVC_Pipe,551,False,2465.76,33000
37,Projet Renovation,Industrial,"Ekaterinburg, Russia",3,17102,9,56,Slab,Concrete,Siding,Tiles,central system gaz,Braided_Pipe,314,True,3941.86,93200
38,Projet New building,Residential,"Saint-peterburg, Russia",6,26219,1,89,Crawlspace,Concrete,Brick,Shingles,central system gaz,Flexi_Pipe,316,True,357.53,115200
39,Projet Renovation,Residential,"Moscow, Russia",4,30220,7,69,Crawlspace,Concrete,Siding,Shingles,central system electric,PEX_Pipe,164,False,641.81,104200
40,Projet Renovation,Industrial,"Saint-peterburg, Russia",2,30415,3,29,Basement,Concrete,Brick,Tiles,central system electric,Rigid_Copper_Pipe,448,True,1509.01,49700
41,Projet Renovation,Industrial,"Saint-peterburg, Russia",7,42905,9,70,Slab,Steel,Brick,Tiles,central system electric,ABS_Pipe,305,False,3996.42,116000
42,Projet New building,Residential,"Saint-peterburg, Russia",10,91752,3,7,Basement,Concrete,Stucco,Tiles,central system gaz,PEX_Pipe,971,False,2579.94,34700
43,Projet Renovation,Industrial,"Ekaterinburg, Russia",6,6327,7,47,Slab,Concrete,Brick,Metal,central system electric,PEX_Pipe,590,False,2736.36,87700
44,Projet Renovation,Industrial,"Moscow, Russia",9,32144,10,96,Crawlspace,Steel,Stucco,Shingles,central system electric,PVC_Pipe,405,True,1724.93,148000
45,Projet New building,Residential,"kazan, Russia",9,15735,2,78,Slab,Steel,Stucco,Shingles,central system gaz,Rigid_Copper_Pipe,681,True,4578.41,104000
46,Projet New building,Commercial,"Moscow, Russia",4,39203,3,70,Crawlspace,Steel,Siding,Tiles,central system gaz,Braided_Pipe,514,False,1912.59,91000
47,Projet Renovation,Residential,"Saint-peterburg, Russia",1,83901,9,94,Crawlspace,Steel,Brick,Metal,central system electric,Flexi_Pipe,467,False,2478.07,134500
48,Projet New building,Industrial,"Saint-peterburg, Russia",4,55951,1,24,Basement,Wood,Brick,Metal,central system gaz,PVC_Pipe,947,False,4092.17,40000
49,Projet Renovation,Commercial,"Moscow, Russia",1,52262,5,39,Basement,Concrete,Siding,Shingles,central system electric,Braided_Pipe,562,False,1900.55,66700
50,Projet New building,Industrial,"Ekaterinburg, Russia",9,49040,1,86,Basement,Steel,Siding,Shingles,central system electric,Braided_Pipe,384,False,2965.28,109500
51,Projet Renovation,Industrial,"kazan, Russia",1,42962,3,62,Slab,Concrete,Siding,Shingles,central system gaz,Braided_Pipe,285,False,1577.89,83200
52,Projet New building,Commercial,"kazan, Russia",7,54947,7,76,Basement,Steel,Stucco,Shingles,central system electric,ABS_Pipe,800,False,1649.42,117500
53,Projet Renovation,Residential,"Ekaterinburg, Russia",2,90402,10,92,Basement,Concrete,Siding,Shingles,central system electric,Braided_Pipe,565,True,2800.2,134700
54,Projet Renovation,Industrial,"Tambov, Russia",8,57231,8,41,Basement,Wood,Stucco,Shingles,central system gaz,Braided_Pipe,386,False,3875.45,86500
55,Projet Renovation,Industrial,"Moscow, Russia",9,54800,1,45,Crawlspace,Steel,Brick,Shingles,central system electric,PEX_Pipe,922,False,2527.34,71000
56,Projet Renovation,Commercial,"Ekaterinburg, Russia",7,22178,4,84,Basement,Concrete,Siding,Tiles,central system gaz,ABS_Pipe,859,False,4793.54,114700
57,Projet New building,Industrial,"Tambov, Russia",6,46844,7,6,Basement,Wood,Brick,Tiles,central system gaz,ABS_Pipe,841,False,3271.96,47500
58,Projet New building,Commercial,"kazan, Russia",5,53656,9,17,Basement,Concrete,Siding,Tiles,central system gaz,ABS_Pipe,495,True,4906.94,54700
59,Projet New building,Industrial,"Moscow, Russia",9,8419,5,6,Basement,Concrete,Stucco,Tiles,central system gaz,Flexi_Pipe,448,True,4260.08,39700
60,Projet Renovation,Commercial,"Saint-peterburg, Russia",4,54036,7,26,Slab,Steel,Stucco,Metal,central system gaz,Flexi_Pipe,932,False,643.19,57500
61,Projet Renovation,Industrial,"kazan, Russia",5,64406,5,48,Slab,Wood,Siding,Metal,central system electric,PEX_Pipe,606,False,311.68,74500
62,Projet New building,Residential,"Ekaterinburg, Russia",7,89475,4,12,Crawlspace,Steel,Siding,Metal,central system gaz,PEX_Pipe,981,False,3298.41,44500
63,Projet New building,Commercial,"Tambov, Russia",10,6374,5,6,Crawlspace,Wood,Brick,Shingles,central system gaz,Rigid_Copper_Pipe,676,True,653.73,45000
64,Projet New building,Commercial,"Moscow, Russia",7,72714,10,4,Slab,Wood,Siding,Metal,central system gaz,Flexi_Pipe,480,False,2155.22,53500
65,Projet New building,Commercial,"Ekaterinburg, Russia",6,73684,7,82,Basement,Concrete,Brick,Tiles,central system gaz,Flexi_Pipe,379,False,3833.69,122700
66,Projet New building,Industrial,"Ekaterinburg, Russia",7,20888,6,41,Basement,Wood,Stucco,Shingles,central system gaz,PVC_Pipe,229,True,3628.73,80500
67,Projet New building,Commercial,"Moscow, Russia",6,29428,4,51,Crawlspace,Wood,Siding,Tiles,central system gaz,Braided_Pipe,595,True,1246.9,84000
68,Projet New building,Commercial,"Moscow, Russia",2,83599,3,58,Slab,Wood,Stucco,Metal,central system electric,ABS_Pipe,380,False,2161.85,78500
69,Projet New building,Commercial,"Ekaterinburg, Russia",2,5828,6,17,Basement,Concrete,Siding,Metal,central system gaz,PEX_Pipe,352,True,4150.71,46200
70,Projet New building,Industrial,"Saint-peterburg, Russia",1,61124,4,82,Basement,Wood,Brick,Tiles,central system gaz,PEX_Pipe,649,True,2623.6,106500
71,Projet Renovation,Residential,"Moscow, Russia",8,58094,5,71,Basement,Steel,Siding,Metal,central system gaz,Flexi_Pipe,419,False,3402.37,105000
72,Projet New building,Commercial,"Saint-peterburg, Russia",7,90283,5,23,Crawlspace,Steel,Siding,Tiles,central system gaz,Flexi_Pipe,285,False,1860.09,58000
73,Projet New building,Industrial,"Ekaterinburg, Russia",8,6051,4,13,Basement,Wood,Siding,Metal,central system gaz,Braided_Pipe,446,False,4503.81,45000
74,Projet Renovation,Commercial,"Ekaterinburg, Russia",7,66057,10,72,Basement,Steel,Brick,Shingles,central system electric,Flexi_Pipe,780,True,245.25,123500
75,Projet New building,Residential,"Ekaterinburg, Russia",10,29189,8,11,Crawlspace,Wood,Siding,Shingles,central system electric,ABS_Pipe,845,True,407.89,58000
76,Projet Renovation,Residential,"Ekaterinburg, Russia",9,78129,7,63,Basement,Wood,Stucco,Tiles,central system electric,Flexi_Pipe,639,True,2086.86,103500
77,Projet Renovation,Commercial,"Saint-peterburg, Russia",5,11975,3,9,Basement,Wood,Siding,Shingles,central system gaz,ABS_Pipe,457,True,3121.81,31500
78,Projet Renovation,Industrial,"Saint-peterburg, Russia",9,45733,7,62,Slab,Concrete,Stucco,Tiles,central system electric,Flexi_Pipe,856,False,2783.65,101200
79,Projet Renovation,Industrial,"Saint-peterburg, Russia",2,95405,1,52,Crawlspace,Wood,Stucco,Shingles,central system gaz,Rigid_Copper_Pipe,132,False,1235.31,70000
80,Projet Renovation,Commercial,"Moscow, Russia",6,42145,6,21,Crawlspace,Concrete,Brick,Metal,central system electric,PVC_Pipe,991,True,4201.55,60700
81,Projet New building,Industrial,"Moscow, Russia",4,49769,2,15,Crawlspace,Wood,Siding,Shingles,central system electric,Braided_Pipe,187,True,3776.17,36000
82,Projet New building,Residential,"Ekaterinburg, Russia",4,91345,8,36,Basement,Concrete,Stucco,Tiles,central system gaz,PEX_Pipe,524,False,3659.19,70700
83,Projet New building,Industrial,"Tambov, Russia",4,46163,1,89,Slab,Wood,Siding,Shingles,central system electric,Braided_Pipe,209,True,1004.11,105000
84,Projet Renovation,Industrial,"Saint-peterburg, Russia",3,1534,9,13,Basement,Steel,Brick,Metal,central system gaz,Rigid_Copper_Pipe,335,False,874.68,52000
85,Projet New building,Commercial,"Tambov, Russia",5,25438,7,95,Crawlspace,Wood,Siding,Shingles,central system electric,Braided_Pipe,189,True,3202.32,131000
86,Projet New building,Commercial,"Moscow, Russia",10,3622,4,93,Slab,Steel,Brick,Metal,central system gaz,PVC_Pipe,121,False,2620.04,124500
87,Projet Renovation,Commercial,"kazan, Russia",2,52729,6,78,Slab,Concrete,Brick,Shingles,central system electric,Rigid_Copper_Pipe,346,False,117.12,109200
88,Projet New building,Residential,"kazan, Russia",2,13596,8,66,Basement,Steel,Siding,Metal,central system electric,Flexi_Pipe,292,True,488.06,101000
89,Projet Renovation,Commercial,"Tambov, Russia",2,55280,10,33,Crawlspace,Wood,Siding,Metal,central system electric,Rigid_Copper_Pipe,591,True,4316.23,76500
90,Projet New building,Commercial,"kazan, Russia",5,14674,2,35,Slab,Steel,Siding,Tiles,central system gaz,ABS_Pipe,859,False,1045.29,51000
91,Projet Renovation,Residential,"Ekaterinburg, Russia",1,99760,7,95,Crawlspace,Wood,Siding,Shingles,central system gaz,Rigid_Copper_Pipe,189,True,990.72,131000
92,Projet New building,Residential,"Moscow, Russia",2,5346,1,60,Basement,Concrete,Brick,Shingles,central system gaz,ABS_Pipe,901,False,3870.85,76700
93,Projet New building,Residential,"kazan, Russia",5,44562,3,10,Crawlspace,Wood,Stucco,Tiles,central system electric,Braided_Pipe,484,True,2196.2,32000
94,Projet New building,Industrial,"kazan, Russia",2,18229,10,90,Crawlspace,Wood,Siding,Shingles,central system gaz,Flexi_Pipe,843,False,2046.21,135000
95,Projet Renovation,Residential,"kazan, Russia",6,73037,5,32,Basement,Wood,Stucco,Metal,central system gaz,Braided_Pipe,944,False,532.97,67000
96,Projet Renovation,Residential,"kazan, Russia",8,89428,4,94,Slab,Wood,Stucco,Shingles,central system electric,Flexi_Pipe,802,False,126.76,127000
97,Projet Renovation,Residential,"Ekaterinburg, Russia",4,2895,7,45,Basement,Wood,Brick,Metal,central system gaz,Rigid_Copper_Pipe,366,True,4134.33,79000
98,Projet Renovation,Residential,"Tambov, Russia",1,14562,1,15,Slab,Steel,Siding,Tiles,central system gaz,Rigid_Copper_Pipe,361,True,1886.17,28000
99,Projet New building,Commercial,"Moscow, Russia",4,22783,8,97,Crawlspace,Concrete,Stucco,Shingles,central system gaz,PVC_Pipe,283,True,1290.88,135200
100,Projet Renovation,Commercial,"kazan, Russia",2,68631,10,93,Slab,Steel,Brick,Shingles,central system electric,ABS_Pipe,311,True,1522.58,136000
101,Projet Renovation,Commercial,"kazan, Russia",4,48143,2,75,Basement,Steel,Brick,Tiles,central system gaz,PVC_Pipe,702,False,2712.15,92500
102,Projet New building,Residential,"Ekaterinburg, Russia",9,65893,8,23,Basement,Wood,Brick,Shingles,central system electric,Rigid_Copper_Pipe,574,False,3256.94,69500
103,Projet New building,Commercial,"Saint-peterburg, Russia",2,36416,10,54,Basement,Concrete,Siding,Metal,central system gaz,Rigid_Copper_Pipe,997,False,835.32,95200
104,Projet Renovation,Commercial,"Saint-peterburg, Russia",5,89960,4,40,Slab,Concrete,Brick,Metal,central system gaz,Rigid_Copper_Pipe,532,True,1952.61,63700
105,Projet New building,Commercial,"kazan, Russia",5,85693,2,86,Crawlspace,Concrete,Brick,Metal,central system gaz,Flexi_Pipe,761,True,1516.67,105700
106,Projet Renovation,Commercial,"kazan, Russia",9,90005,10,54,Slab,Concrete,Siding,Tiles,central system electric,ABS_Pipe,492,False,3280.69,102200
107,Projet New building,Residential,"kazan, Russia",4,73713,2,64,Basement,Concrete,Brick,Tiles,central system gaz,Flexi_Pipe,833,False,3022.95,81700
108,Projet Renovation,Industrial,"kazan, Russia",10,97252,6,44,Basement,Concrete,Siding,Tiles,central system electric,Flexi_Pipe,628,False,415.36,80700
109,Projet New building,Residential,"Moscow, Russia",10,90678,6,16,Slab,Wood,Siding,Shingles,central system gaz,PVC_Pipe,699,False,4797.93,55000
110,Projet New building,Commercial,"Tambov, Russia",7,36394,3,80,Crawlspace,Wood,Brick,Tiles,central system gaz,Braided_Pipe,138,False,3228.93,111000
111,Projet Renovation,Residential,"Ekaterinburg, Russia",9,70594,9,4,Crawlspace,Concrete,Brick,Shingles,central system gaz,Flexi_Pipe,832,False,4383.7,54200
112,Projet Renovation,Residential,"kazan, Russia",7,33978,3,35,Slab,Wood,Siding,Tiles,central system gaz,ABS_Pipe,789,True,2301.47,63000
113,Projet New building,Residential,"Moscow, Russia",8,27415,4,98,Slab,Steel,Siding,Tiles,central system electric,Braided_Pipe,301,True,3534.44,128000
114,Projet New building,Commercial,"Tambov, Russia",2,21651,4,92,Crawlspace,Wood,Brick,Tiles,central system electric,Flexi_Pipe,383,False,2855.3,118000
115,Projet Renovation,Commercial,"Moscow, Russia",6,79799,3,30,Basement,Concrete,Stucco,Tiles,central system gaz,PEX_Pipe,263,False,2342.32,57700
116,Projet Renovation,Residential,"Ekaterinburg, Russia",5,52733,1,41,Crawlspace,Wood,Brick,Tiles,central system gaz,PVC_Pipe,987,False,4120.29,58000
117,Projet Renovation,Industrial,"Tambov, Russia",1,82069,10,76,Basement,Concrete,Stucco,Tiles,central system electric,Flexi_Pipe,442,False,3022.41,116700
118,Projet Renovation,Residential,"kazan, Russia",5,33540,1,20,Basement,Wood,Brick,Metal,central system electric,Braided_Pipe,702,False,931.78,36000
119,Projet Renovation,Residential,"Saint-peterburg, Russia",1,8694,7,87,Basement,Steel,Siding,Shingles,central system electric,Rigid_Copper_Pipe,117,False,708.73,120500
120,Projet New building,Residential,"kazan, Russia",8,83177,9,75,Basement,Steel,Brick,Tiles,central system electric,Rigid_Copper_Pipe,599,True,4733.27,121500
121,Projet Renovation,Commercial,"Saint-peterburg, Russia",8,50466,6,84,Basement,Steel,Siding,Tiles,central system gaz,PEX_Pipe,653,True,3304.11,120500
122,Projet New building,Industrial,"kazan, Russia",10,65820,9,92,Basement,Concrete,Siding,Metal,central system gaz,Braided_Pipe,377,True,480.12,138200
123,Projet New building,Commercial,"Ekaterinburg, Russia",1,91677,10,95,Slab,Wood,Siding,Tiles,central system gaz,PEX_Pipe,678,True,2639.67,136000
124,Projet New building,Commercial,"kazan, Russia",2,38188,5,50,Crawlspace,Concrete,Siding,Metal,central system gaz,PVC_Pipe,266,False,2700.25,77700
125,Projet Renovation,Commercial,"Moscow, Russia",5,79450,8,25,Slab,Wood,Stucco,Metal,central system gaz,Flexi_Pipe,977,True,2938.9,60500
126,Projet New building,Commercial,"Saint-peterburg, Russia",6,78161,2,48,Basement,Concrete,Siding,Tiles,central system electric,PEX_Pipe,810,False,1956.16,72700
127,Projet Renovation,Industrial,"Ekaterinburg, Russia",4,66902,6,25,Slab,Concrete,Siding,Metal,central system gaz,Flexi_Pipe,370,True,4092.58,53700
128,Projet Renovation,Industrial,"Ekaterinburg, Russia",4,82693,4,97,Basement,Wood,Brick,Metal,central system electric,ABS_Pipe,924,True,825.67,122000
129,Projet Renovation,Industrial,"Saint-peterburg, Russia",10,22592,2,50,Slab,Wood,Siding,Tiles,central system electric,Braided_Pipe,638,False,516.06,75000
130,Projet Renovation,Industrial,"Saint-peterburg, Russia",9,91203,6,5,Slab,Steel,Brick,Tiles,central system gaz,ABS_Pipe,926,True,2579.73,42000
131,Projet New building,Commercial,"Ekaterinburg, Russia",1,26904,5,28,Slab,Concrete,Stucco,Metal,central system electric,PVC_Pipe,228,True,2453.37,53700
132,Projet New building,Commercial,"kazan, Russia",4,57246,6,16,Basement,Concrete,Siding,Shingles,central system gaz,Rigid_Copper_Pipe,845,False,3133.94,46700
133,Projet Renovation,Commercial,"Moscow, Russia",9,17597,6,80,Crawlspace,Steel,Stucco,Metal,central system electric,Braided_Pipe,525,True,293.79,118500
134,Projet Renovation,Commercial,"Moscow, Russia",8,46311,2,11,Crawlspace,Wood,Brick,Shingles,central system gaz,Braided_Pipe,526,False,1571.77,41000
135,Projet Renovation,Residential,"Saint-peterburg, Russia",6,72583,6,14,Crawlspace,Concrete,Siding,Shingles,central system electric,PVC_Pipe,286,False,2597.04,54200
136,Projet Renovation,Industrial,"kazan, Russia",2,13056,8,10,Crawlspace,Steel,Brick,Metal,central system gaz,Braided_Pipe,669,False,1240.52,47500
137,Projet Renovation,Industrial,"kazan, Russia",2,93196,10,27,Basement,Steel,Stucco,Shingles,central system electric,PVC_Pipe,112,False,1288.25,69500
138,Projet Renovation,Residential,"kazan, Russia",9,10612,4,5,Crawlspace,Concrete,Stucco,Tiles,central system gaz,PEX_Pipe,346,False,3624.33,37200
139,Projet New building,Industrial,"Tambov, Russia",8,54936,6,48,Crawlspace,Steel,Siding,Shingles,central system electric,ABS_Pipe,442,False,4086.23,88000
140,Projet New building,Industrial,"Ekaterinburg, Russia",3,23068,10,25,Crawlspace,Steel,Stucco,Metal,central system gaz,Braided_Pipe,841,False,1539.03,67500
141,Projet New building,Industrial,"Saint-peterburg, Russia",1,7296,1,89,Slab,Steel,Siding,Metal,central system gaz,Braided_Pipe,781,True,4945.7,102500
142,Projet New building,Commercial,"Moscow, Russia",3,97796,6,93,Slab,Wood,Siding,Tiles,central system electric,ABS_Pipe,934,False,4168.86,122000
143,Projet Renovation,Commercial,"kazan, Russia",6,57481,8,33,Slab,Wood,Siding,Metal,central system gaz,Flexi_Pipe,690,True,1288.75,76500
144,Projet New building,Residential,"Ekaterinburg, Russia",5,38615,7,32,Crawlspace,Wood,Stucco,Tiles,central system gaz,ABS_Pipe,312,True,1813.2,66000
145,Projet Renovation,Industrial,"Tambov, Russia",1,68873,5,84,Slab,Concrete,Stucco,Shingles,central system gaz,Flexi_Pipe,497,True,2231.18,111200
146,Projet Renovation,Residential,"Saint-peterburg, Russia",5,11792,1,11,Basement,Concrete,Stucco,Tiles,central system gaz,PEX_Pipe,640,True,1601.94,24700
147,Projet New building,Industrial,"kazan, Russia",3,1453,2,67,Crawlspace,Wood,Stucco,Metal,central system electric,ABS_Pipe,498,False,1768.87,86500
148,Projet Renovation,Commercial,"Saint-peterburg, Russia",9,93327,1,98,Slab,Wood,Siding,Shingles,central system electric,PVC_Pipe,649,False,4319.96,122000
149,Projet Renovation,Residential,"kazan, Russia",6,35225,9,7,Basement,Wood,Stucco,Shingles,central system gaz,Flexi_Pipe,231,False,222.99,55500
150,Projet Renovation,Commercial,"Saint-peterburg, Russia",8,50178,7,59,Crawlspace,Concrete,Stucco,Metal,central system electric,PVC_Pipe,707,False,4500.46,100700
151,Projet New building,Commercial,"Moscow, Russia",7,18342,1,61,Basement,Concrete,Brick,Tiles,central system gaz,PVC_Pipe,857,False,1289.31,83700
152,Projet New building,Commercial,"kazan, Russia",8,81885,6,27,Slab,Wood,Siding,Shingles,central system gaz,Flexi_Pipe,122,False,3842.35,66000
153,Projet New building,Commercial,"Ekaterinburg, Russia",2,79253,4,39,Crawlspace,Steel,Brick,Tiles,central system gaz,PVC_Pipe,295,True,2789.84,64000
154,Projet Renovation,Residential,"Saint-peterburg, Russia",9,39955,9,66,Basement,Wood,Stucco,Tiles,central system gaz,PVC_Pipe,185,False,1438.67,112500
155,Projet Renovation,Industrial,"Ekaterinburg, Russia",6,84314,7,7,Basement,Steel,Brick,Tiles,central system gaz,Rigid_Copper_Pipe,256,True,3320.26,47500
156,Projet Renovation,Residential,"Moscow, Russia",6,46048,8,60,Slab,Concrete,Stucco,Shingles,central system electric,ABS_Pipe,549,False,1130.5,104200
157,Projet New building,Commercial,"Ekaterinburg, Russia",5,92900,7,51,Crawlspace,Wood,Stucco,Tiles,central system gaz,PVC_Pipe,192,True,3226.33,85000
158,Projet New building,Commercial,"Saint-peterburg, Russia",6,76648,7,76,Basement,Wood,Siding,Metal,central system electric,Braided_Pipe,720,True,1247.5,117000
159,Projet New building,Industrial,"kazan, Russia",3,20139,2,95,Basement,Wood,Brick,Tiles,central system electric,Braided_Pipe,192,True,222.06,113500
160,Projet Renovation,Commercial,"kazan, Russia",10,66329,8,85,Slab,Wood,Siding,Shingles,central system gaz,ABS_Pipe,285,False,2786.82,130000
161,Projet New building,Industrial,"Ekaterinburg, Russia",2,35591,1,37,Basement,Wood,Brick,Metal,central system gaz,ABS_Pipe,854,True,179.05,53000
162,Projet New building,Residential,"kazan, Russia",5,65904,8,35,Slab,Concrete,Siding,Tiles,central system electric,PEX_Pipe,359,False,1686.46,69200
163,Projet New building,Residential,"Ekaterinburg, Russia",3,59082,5,33,Basement,Wood,Brick,Shingles,central system gaz,PVC_Pipe,570,True,4312.74,62500
164,Projet New building,Commercial,"Ekaterinburg, Russia",4,82786,8,55,Crawlspace,Steel,Brick,Metal,central system gaz,Flexi_Pipe,819,True,2584.65,92500
165,Projet New building,Industrial,"kazan, Russia",2,74829,5,7,Basement,Concrete,Stucco,Tiles,central system gaz,Rigid_Copper_Pipe,322,False,1567.5,32700
166,Projet New building,Residential,"Tambov, Russia",5,67225,7,77,Slab,Wood,Siding,Tiles,central system gaz,Braided_Pipe,420,False,3615.66,109000
167,Projet New building,Commercial,"Moscow, Russia",10,8010,9,7,Slab,Concrete,Siding,Tiles,central system electric,Braided_Pipe,494,True,2133.11,52200
168,Projet New building,Commercial,"kazan, Russia",5,49443,9,87,Crawlspace,Wood,Siding,Metal,central system gaz,Braided_Pipe,350,True,1556.43,127500
169,Projet Renovation,Commercial,"Saint-peterburg, Russia",7,51701,10,63,Crawlspace,Concrete,Siding,Shingles,central system electric,PEX_Pipe,284,False,4483.74,115200
170,Projet New building,Residential,"Saint-peterburg, Russia",9,49013,6,41,Slab,Concrete,Brick,Shingles,central system electric,Braided_Pipe,791,True,2758.98,80200
171,Projet New building,Industrial,"Ekaterinburg, Russia",8,42337,10,72,Slab,Steel,Siding,Metal,central system gaz,PEX_Pipe,406,True,3004.49,120500
172,Projet Renovation,Industrial,"Ekaterinburg, Russia",8,22286,3,42,Basement,Steel,Brick,Shingles,central system electric,PEX_Pipe,266,False,3768.41,72500
